model_id,model,P_vector,model_average_fidelity,model_average_fidelity_gauge
20260213_143415_perturbed_241,"[[[(0.5+0j), (-0.017894239924744707-0.38617962128111005j)], [(-0.017894239924744707+0.38617962128111005j), (0.5+0j)]], [[(0.9659773095493649-0.1379012364560057j), (0.18993862398855918+0.10860205125599022j)], [(-0.09939374457500613-0.19491528918746834j), (-0.18394239608457608+0.9582766346431439j)]], [[(0.5+0j), (0.4975482521879447-0.04945439055049937j)], [(0.4975482521879447+0.04945439055049937j), (0.5+0j)]]]","[0.47961, 0.724728, 0.872334]",0.564889,
20260213_143415_perturbed_242,"[[[(0.5+0j), (-0.017894239924744707-0.38617962128111005j)], [(-0.017894239924744707+0.38617962128111005j), (0.5+0j)]], [[(0.9659773095493649-0.1379012364560057j), (0.18993862398855918+0.10860205125599022j)], [(-0.09939374457500613-0.19491528918746834j), (-0.18394239608457608+0.9582766346431439j)]], [[(0.5+0j), (-0.017894239924744707-0.38617962128111005j)], [(-0.017894239924744707+0.38617962128111005j), (0.5+0j)]]]","[0.301635, 0.211661, 0.550733]",0.763725,
20260213_143415_perturbed_243,"[[[(0.5+0j), (-0.017894239924744707-0.38617962128111005j)], [(-0.017894239924744707+0.38617962128111005j), (0.5+0j)]], [[(0.9659773095493649-0.1379012364560057j), (0.18993862398855918+0.10860205125599022j)], [(-0.09939374457500613-0.19491528918746834j), (-0.18394239608457608+0.9582766346431439j)]], [[(0.5+0j), (-0.25129988330819936-0.3263740578886814j)], [(-0.25129988330819936+0.3263740578886814j), (0.5+0j)]]]","[0.319257, 0.143412, 0.359286]",0.821426,
20260213_143415_perturbed_244,"[[[(0.5+0j), (-0.017894239924744707-0.38617962128111005j)], [(-0.017894239924744707+0.38617962128111005j), (0.5+0j)]], [[(0.9659773095493649-0.1379012364560057j), (0.18993862398855918+0.10860205125599022j)], [(-0.09939374457500613-0.19491528918746834j), (-0.18394239608457608+0.9582766346431439j)]], [[(0.5+0j), (0.19219697996393978+0.46158457609926795j)], [(0.19219697996393978-0.46158457609926795j), (0.5+0j)]]]","[0.863388, 0.809476, 0.688955]",0.733317,
20260213_143415_perturbed_245,"[[[(0.5+0j), (-0.017894239924744707-0.38617962128111005j)], [(-0.017894239924744707+0.38617962128111005j), (0.5+0j)]], [[(0.9659773095493649-0.1379012364560057j), (0.18993862398855918+0.10860205125599022j)], [(-0.09939374457500613-0.19491528918746834j), (-0.18394239608457608+0.9582766346431439j)]], [[(0.5760003103069374+0j), (0.42399968969306256+0j)], [(0.42399968969306256+0j), (0.42399968969306256+0j)]]]","[0.579623, 0.618604, 0.89499]",0.58421,
20260213_143415_perturbed_246,"[[[(0.5+0j), (-0.017894239924744707-0.38617962128111005j)], [(-0.017894239924744707+0.38617962128111005j), (0.5+0j)]], [[(0.9659773095493649-0.1379012364560057j), (0.18993862398855918+0.10860205125599022j)], [(-0.09939374457500613-0.19491528918746834j), (-0.18394239608457608+0.9582766346431439j)]], [[(0.5+0j), (0.24162300040047102-0.43774230510366924j)], [(0.24162300040047102+0.43774230510366924j), (0.5+0j)]]]","[0.170553, 0.417486, 0.641975]",0.71782,
20260213_143415_perturbed_247,"[[[(0.5+0j), (-0.017894239924744707-0.38617962128111005j)], [(-0.017894239924744707+0.38617962128111005j), (0.5+0j)]], [[(0.9659773095493649-0.1379012364560057j), (0.18993862398855918+0.10860205125599022j)], [(-0.09939374457500613-0.19491528918746834j), (-0.18394239608457608+0.9582766346431439j)]], [[(0.5+0j), (-0.1257878316178867-0.4839188169692002j)], [(-0.1257878316178867+0.4839188169692002j), (0.5+0j)]]]","[0.121739, 0.213231, 0.359264]",0.812073,
20260213_143415_perturbed_248,"[[[(0.5+0j), (-0.017894239924744707-0.38617962128111005j)], [(-0.017894239924744707+0.38617962128111005j), (0.5+0j)]], [[(0.9659773095493649-0.1379012364560057j), (0.18993862398855918+0.10860205125599022j)], [(-0.09939374457500613-0.19491528918746834j), (-0.18394239608457608+0.9582766346431439j)]], [[(0.4808663550850083+0j), (0.4808663550850083+0j)], [(0.4808663550850083+0j), (0.5191336449149917+0j)]]]","[0.535611, 0.727976, 0.8804]",0.557403,
20260213_143415_perturbed_249,"[[[(0.5+0j), (-0.017894239924744707-0.38617962128111005j)], [(-0.017894239924744707+0.38617962128111005j), (0.5+0j)]], [[(0.9659773095493649-0.1379012364560057j), (0.18993862398855918+0.10860205125599022j)], [(-0.09939374457500613-0.19491528918746834j), (-0.18394239608457608+0.9582766346431439j)]], [[(0.5+0j), (0.48365284596713287-0.12680664252275156j)], [(0.48365284596713287+0.12680664252275156j), (0.5+0j)]]]","[0.419369, 0.681981, 0.854545]",0.591002,
20260213_143415_perturbed_250,"[[[(0.5+0j), (-0.017894239924744707-0.38617962128111005j)], [(-0.017894239924744707+0.38617962128111005j), (0.5+0j)]], [[(0.9303065865071874-0.01262876592991575j), (-0.36639204640250006-0.011271100452975753j)], [(0.26858554035230425+0.2494633778455137j), (0.6529794441462441+0.662757630020228j)]], [[(0.7350621658824833+0j), (0.4413000998987378+0j)], [(0.4413000998987378+0j), (0.26493783411751676+0j)]]]","[0.515793, 0.324254, 0.192912]",0.588922,
20260213_143415_perturbed_251,"[[[(0.5+0j), (-0.017894239924744707-0.38617962128111005j)], [(-0.017894239924744707+0.38617962128111005j), (0.5+0j)]], [[(0.9303065865071874-0.01262876592991575j), (-0.36639204640250006-0.011271100452975753j)], [(0.26858554035230425+0.2494633778455137j), (0.6529794441462441+0.662757630020228j)]], [[(0.5+0j), (0.4975482521879447-0.04945439055049937j)], [(0.4975482521879447+0.04945439055049937j), (0.5+0j)]]]","[0.47961, 0.189822, 0.316791]",0.524667,
20260213_143415_perturbed_252,"[[[(0.5+0j), (-0.017894239924744707-0.38617962128111005j)], [(-0.017894239924744707+0.38617962128111005j), (0.5+0j)]], [[(0.9303065865071874-0.01262876592991575j), (-0.36639204640250006-0.011271100452975753j)], [(0.26858554035230425+0.2494633778455137j), (0.6529794441462441+0.662757630020228j)]], [[(0.5+0j), (-0.017894239924744707-0.38617962128111005j)], [(-0.017894239924744707+0.38617962128111005j), (0.5+0j)]]]","[0.301635, 0.442728, 0.52248]",0.723504,
20260213_143415_perturbed_253,"[[[(0.5+0j), (-0.017894239924744707-0.38617962128111005j)], [(-0.017894239924744707+0.38617962128111005j), (0.5+0j)]], [[(0.9303065865071874-0.01262876592991575j), (-0.36639204640250006-0.011271100452975753j)], [(0.26858554035230425+0.2494633778455137j), (0.6529794441462441+0.662757630020228j)]], [[(0.5+0j), (-0.25129988330819936-0.3263740578886814j)], [(-0.25129988330819936+0.3263740578886814j), (0.5+0j)]]]","[0.319257, 0.605423, 0.596196]",0.781205,
20260213_143415_perturbed_254,"[[[(0.5+0j), (-0.017894239924744707-0.38617962128111005j)], [(-0.017894239924744707+0.38617962128111005j), (0.5+0j)]], [[(0.9303065865071874-0.01262876592991575j), (-0.36639204640250006-0.011271100452975753j)], [(0.26858554035230425+0.2494633778455137j), (0.6529794441462441+0.662757630020228j)]], [[(0.5+0j), (0.19219697996393978+0.46158457609926795j)], [(0.19219697996393978-0.46158457609926795j), (0.5+0j)]]]","[0.863388, 0.340387, 0.534117]",0.693095,
20260213_143415_perturbed_255,"[[[(0.5+0j), (-0.017894239924744707-0.38617962128111005j)], [(-0.017894239924744707+0.38617962128111005j), (0.5+0j)]], [[(0.9303065865071874-0.01262876592991575j), (-0.36639204640250006-0.011271100452975753j)], [(0.26858554035230425+0.2494633778455137j), (0.6529794441462441+0.662757630020228j)]], [[(0.5760003103069374+0j), (0.42399968969306256+0j)], [(0.42399968969306256+0j), (0.42399968969306256+0j)]]]","[0.579623, 0.201037, 0.367674]",0.543989,
20260213_143415_perturbed_256,"[[[(0.5+0j), (-0.017894239924744707-0.38617962128111005j)], [(-0.017894239924744707+0.38617962128111005j), (0.5+0j)]], [[(0.9303065865071874-0.01262876592991575j), (-0.36639204640250006-0.011271100452975753j)], [(0.26858554035230425+0.2494633778455137j), (0.6529794441462441+0.662757630020228j)]], [[(0.5+0j), (0.24162300040047102-0.43774230510366924j)], [(0.24162300040047102+0.43774230510366924j), (0.5+0j)]]]","[0.170553, 0.38362, 0.320751]",0.677598,
20260213_143415_perturbed_257,"[[[(0.5+0j), (-0.017894239924744707-0.38617962128111005j)], [(-0.017894239924744707+0.38617962128111005j), (0.5+0j)]], [[(0.9303065865071874-0.01262876592991575j), (-0.36639204640250006-0.011271100452975753j)], [(0.26858554035230425+0.2494633778455137j), (0.6529794441462441+0.662757630020228j)]], [[(0.5+0j), (-0.1257878316178867-0.4839188169692002j)], [(-0.1257878316178867+0.4839188169692002j), (0.5+0j)]]]","[0.121739, 0.619515, 0.437996]",0.771851,
20260213_143415_perturbed_258,"[[[(0.5+0j), (-0.017894239924744707-0.38617962128111005j)], [(-0.017894239924744707+0.38617962128111005j), (0.5+0j)]], [[(0.9303065865071874-0.01262876592991575j), (-0.36639204640250006-0.011271100452975753j)], [(0.26858554035230425+0.2494633778455137j), (0.6529794441462441+0.662757630020228j)]], [[(0.4808663550850083+0j), (0.4808663550850083+0j)], [(0.4808663550850083+0j), (0.5191336449149917+0j)]]]","[0.535611, 0.169479, 0.364313]",0.517182,
20260213_143415_perturbed_259,"[[[(0.5+0j), (-0.017894239924744707-0.38617962128111005j)], [(-0.017894239924744707+0.38617962128111005j), (0.5+0j)]], [[(0.9303065865071874-0.01262876592991575j), (-0.36639204640250006-0.011271100452975753j)], [(0.26858554035230425+0.2494633778455137j), (0.6529794441462441+0.662757630020228j)]], [[(0.5+0j), (0.48365284596713287-0.12680664252275156j)], [(0.48365284596713287+0.12680664252275156j), (0.5+0j)]]]","[0.419369, 0.205003, 0.304727]",0.550781,
20260213_143415_perturbed_260,"[[[(0.5+0j), (-0.017894239924744707-0.38617962128111005j)], [(-0.017894239924744707+0.38617962128111005j), (0.5+0j)]], [[(0.5233064570685777+0.516867424582095j), (0.6608817366110686-0.14910985081524097j)], [(0.6170430766618791-0.2797432017759278j), (-0.1055766858420614+0.7279114960009916j)]], [[(0.7350621658824833+0j), (0.4413000998987378+0j)], [(0.4413000998987378+0j), (0.26493783411751676+0j)]]]","[0.515793, 0.411931, 0.514969]",0.531816,
20260213_143415_perturbed_261,"[[[(0.5+0j), (-0.017894239924744707-0.38617962128111005j)], [(-0.017894239924744707+0.38617962128111005j), (0.5+0j)]], [[(0.5233064570685777+0.516867424582095j), (0.6608817366110686-0.14910985081524097j)], [(0.6170430766618791-0.2797432017759278j), (-0.1055766858420614+0.7279114960009916j)]], [[(0.5+0j), (0.4975482521879447-0.04945439055049937j)], [(0.4975482521879447+0.04945439055049937j), (0.5+0j)]]]","[0.47961, 0.438287, 0.578679]",0.467561,
20260213_143415_perturbed_262,"[[[(0.5+0j), (-0.017894239924744707-0.38617962128111005j)], [(-0.017894239924744707+0.38617962128111005j), (0.5+0j)]], [[(0.5233064570685777+0.516867424582095j), (0.6608817366110686-0.14910985081524097j)], [(0.6170430766618791-0.2797432017759278j), (-0.1055766858420614+0.7279114960009916j)]], [[(0.5+0j), (-0.017894239924744707-0.38617962128111005j)], [(-0.017894239924744707+0.38617962128111005j), (0.5+0j)]]]","[0.301635, 0.122242, 0.345531]",0.666398,
20260213_143415_perturbed_263,"[[[(0.5+0j), (-0.017894239924744707-0.38617962128111005j)], [(-0.017894239924744707+0.38617962128111005j), (0.5+0j)]], [[(0.5233064570685777+0.516867424582095j), (0.6608817366110686-0.14910985081524097j)], [(0.6170430766618791-0.2797432017759278j), (-0.1055766858420614+0.7279114960009916j)]], [[(0.5+0j), (-0.25129988330819936-0.3263740578886814j)], [(-0.25129988330819936+0.3263740578886814j), (0.5+0j)]]]","[0.319257, 0.197776, 0.3122]",0.724099,
20260213_143415_perturbed_264,"[[[(0.5+0j), (-0.017894239924744707-0.38617962128111005j)], [(-0.017894239924744707+0.38617962128111005j), (0.5+0j)]], [[(0.5233064570685777+0.516867424582095j), (0.6608817366110686-0.14910985081524097j)], [(0.6170430766618791-0.2797432017759278j), (-0.1055766858420614+0.7279114960009916j)]], [[(0.5+0j), (0.19219697996393978+0.46158457609926795j)], [(0.19219697996393978-0.46158457609926795j), (0.5+0j)]]]","[0.863388, 0.822383, 0.842855]",0.63599,
20260213_143415_perturbed_265,"[[[(0.5+0j), (-0.017894239924744707-0.38617962128111005j)], [(-0.017894239924744707+0.38617962128111005j), (0.5+0j)]], [[(0.5233064570685777+0.516867424582095j), (0.6608817366110686-0.14910985081524097j)], [(0.6170430766618791-0.2797432017759278j), (-0.1055766858420614+0.7279114960009916j)]], [[(0.5760003103069374+0j), (0.42399968969306256+0j)], [(0.42399968969306256+0j), (0.42399968969306256+0j)]]]","[0.579623, 0.392324, 0.63195]",0.486883,
20260213_143415_perturbed_266,"[[[(0.5+0j), (-0.017894239924744707-0.38617962128111005j)], [(-0.017894239924744707+0.38617962128111005j), (0.5+0j)]], [[(0.5233064570685777+0.516867424582095j), (0.6608817366110686-0.14910985081524097j)], [(0.6170430766618791-0.2797432017759278j), (-0.1055766858420614+0.7279114960009916j)]], [[(0.5+0j), (0.24162300040047102-0.43774230510366924j)], [(0.24162300040047102+0.43774230510366924j), (0.5+0j)]]]","[0.170553, 0.172039, 0.269274]",0.620492,
20260213_143415_perturbed_267,"[[[(0.5+0j), (-0.017894239924744707-0.38617962128111005j)], [(-0.017894239924744707+0.38617962128111005j), (0.5+0j)]], [[(0.5233064570685777+0.516867424582095j), (0.6608817366110686-0.14910985081524097j)], [(0.6170430766618791-0.2797432017759278j), (-0.1055766858420614+0.7279114960009916j)]], [[(0.5+0j), (-0.1257878316178867-0.4839188169692002j)], [(-0.1257878316178867+0.4839188169692002j), (0.5+0j)]]]","[0.121739, 0.158048, 0.157419]",0.714745,
20260213_143415_perturbed_268,"[[[(0.5+0j), (-0.017894239924744707-0.38617962128111005j)], [(-0.017894239924744707+0.38617962128111005j), (0.5+0j)]], [[(0.5233064570685777+0.516867424582095j), (0.6608817366110686-0.14910985081524097j)], [(0.6170430766618791-0.2797432017759278j), (-0.1055766858420614+0.7279114960009916j)]], [[(0.4808663550850083+0j), (0.4808663550850083+0j)], [(0.4808663550850083+0j), (0.5191336449149917+0j)]]]","[0.535611, 0.461665, 0.632294]",0.460076,
20260213_143415_perturbed_269,"[[[(0.5+0j), (-0.017894239924744707-0.38617962128111005j)], [(-0.017894239924744707+0.38617962128111005j), (0.5+0j)]], [[(0.5233064570685777+0.516867424582095j), (0.6608817366110686-0.14910985081524097j)], [(0.6170430766618791-0.2797432017759278j), (-0.1055766858420614+0.7279114960009916j)]], [[(0.5+0j), (0.48365284596713287-0.12680664252275156j)], [(0.48365284596713287+0.12680664252275156j), (0.5+0j)]]]","[0.419369, 0.383301, 0.525302]",0.493675,
20260213_143415_perturbed_270,"[[[(0.5+0j), (-0.017894239924744707-0.38617962128111005j)], [(-0.017894239924744707+0.38617962128111005j), (0.5+0j)]], [[(0.9733526560152668+0.03531130910303391j), (-0.2029855715437895+0.1006706323735839j)], [(-0.09527478414053292+0.2055734272332663j), (0.06100469163393124+0.9720806083454154j)]], [[(0.7350621658824833+0j), (0.4413000998987378+0j)], [(0.4413000998987378+0j), (0.26493783411751676+0j)]]]","[0.515793, 0.500067, 0.451811]",0.633616,
20260213_143415_perturbed_271,"[[[(0.5+0j), (-0.017894239924744707-0.38617962128111005j)], [(-0.017894239924744707+0.38617962128111005j), (0.5+0j)]], [[(0.9733526560152668+0.03531130910303391j), (-0.2029855715437895+0.1006706323735839j)], [(-0.09527478414053292+0.2055734272332663j), (0.06100469163393124+0.9720806083454154j)]], [[(0.5+0j), (0.4975482521879447-0.04945439055049937j)], [(0.4975482521879447+0.04945439055049937j), (0.5+0j)]]]","[0.47961, 0.420683, 0.418564]",0.569361,
20260213_143415_perturbed_272,"[[[(0.5+0j), (-0.017894239924744707-0.38617962128111005j)], [(-0.017894239924744707+0.38617962128111005j), (0.5+0j)]], [[(0.9733526560152668+0.03531130910303391j), (-0.2029855715437895+0.1006706323735839j)], [(-0.09527478414053292+0.2055734272332663j), (0.06100469163393124+0.9720806083454154j)]], [[(0.5+0j), (-0.017894239924744707-0.38617962128111005j)], [(-0.017894239924744707+0.38617962128111005j), (0.5+0j)]]]","[0.301635, 0.11062, 0.305855]",0.768197,
20260213_143415_perturbed_273,"[[[(0.5+0j), (-0.017894239924744707-0.38617962128111005j)], [(-0.017894239924744707+0.38617962128111005j), (0.5+0j)]], [[(0.9733526560152668+0.03531130910303391j), (-0.2029855715437895+0.1006706323735839j)], [(-0.09527478414053292+0.2055734272332663j), (0.06100469163393124+0.9720806083454154j)]], [[(0.5+0j), (-0.25129988330819936-0.3263740578886814j)], [(-0.25129988330819936+0.3263740578886814j), (0.5+0j)]]]","[0.319257, 0.195568, 0.351923]",0.825898,
20260213_143415_perturbed_274,"[[[(0.5+0j), (-0.017894239924744707-0.38617962128111005j)], [(-0.017894239924744707+0.38617962128111005j), (0.5+0j)]], [[(0.9733526560152668+0.03531130910303391j), (-0.2029855715437895+0.1006706323735839j)], [(-0.09527478414053292+0.2055734272332663j), (0.06100469163393124+0.9720806083454154j)]], [[(0.5+0j), (0.19219697996393978+0.46158457609926795j)], [(0.19219697996393978-0.46158457609926795j), (0.5+0j)]]]","[0.863388, 0.830767, 0.837298]",0.737789,
20260213_143415_perturbed_275,"[[[(0.5+0j), (-0.017894239924744707-0.38617962128111005j)], [(-0.017894239924744707+0.38617962128111005j), (0.5+0j)]], [[(0.9733526560152668+0.03531130910303391j), (-0.2029855715437895+0.1006706323735839j)], [(-0.09527478414053292+0.2055734272332663j), (0.06100469163393124+0.9720806083454154j)]], [[(0.5760003103069374+0j), (0.42399968969306256+0j)], [(0.42399968969306256+0j), (0.42399968969306256+0j)]]]","[0.579623, 0.41175, 0.524274]",0.588682,
20260213_143415_perturbed_276,"[[[(0.5+0j), (-0.017894239924744707-0.38617962128111005j)], [(-0.017894239924744707+0.38617962128111005j), (0.5+0j)]], [[(0.9733526560152668+0.03531130910303391j), (-0.2029855715437895+0.1006706323735839j)], [(-0.09527478414053292+0.2055734272332663j), (0.06100469163393124+0.9720806083454154j)]], [[(0.5+0j), (0.24162300040047102-0.43774230510366924j)], [(0.24162300040047102+0.43774230510366924j), (0.5+0j)]]]","[0.170553, 0.150421, 0.143066]",0.722292,
20260213_143415_perturbed_277,"[[[(0.5+0j), (-0.017894239924744707-0.38617962128111005j)], [(-0.017894239924744707+0.38617962128111005j), (0.5+0j)]], [[(0.9733526560152668+0.03531130910303391j), (-0.2029855715437895+0.1006706323735839j)], [(-0.09527478414053292+0.2055734272332663j), (0.06100469163393124+0.9720806083454154j)]], [[(0.5+0j), (-0.1257878316178867-0.4839188169692002j)], [(-0.1257878316178867+0.4839188169692002j), (0.5+0j)]]]","[0.121739, 0.146817, 0.139763]",0.816545,
20260213_143415_perturbed_278,"[[[(0.5+0j), (-0.017894239924744707-0.38617962128111005j)], [(-0.017894239924744707+0.38617962128111005j), (0.5+0j)]], [[(0.9733526560152668+0.03531130910303391j), (-0.2029855715437895+0.1006706323735839j)], [(-0.09527478414053292+0.2055734272332663j), (0.06100469163393124+0.9720806083454154j)]], [[(0.4808663550850083+0j), (0.4808663550850083+0j)], [(0.4808663550850083+0j), (0.5191336449149917+0j)]]]","[0.535611, 0.437829, 0.477145]",0.561875,
20260213_143415_perturbed_279,"[[[(0.5+0j), (-0.017894239924744707-0.38617962128111005j)], [(-0.017894239924744707+0.38617962128111005j), (0.5+0j)]], [[(0.9733526560152668+0.03531130910303391j), (-0.2029855715437895+0.1006706323735839j)], [(-0.09527478414053292+0.2055734272332663j), (0.06100469163393124+0.9720806083454154j)]], [[(0.5+0j), (0.48365284596713287-0.12680664252275156j)], [(0.48365284596713287+0.12680664252275156j), (0.5+0j)]]]","[0.419369, 0.363702, 0.360439]",0.595474,
20260213_143415_perturbed_280,"[[[(0.5+0j), (-0.017894239924744707-0.38617962128111005j)], [(-0.017894239924744707+0.38617962128111005j), (0.5+0j)]], [[(0.6634718842038863-0.3481520332878431j), (-0.65976641560254-0.05747605963757785j)], [(0.6473999039398937+0.13952987123588395j), (0.5313900570833687+0.528232322604788j)]], [[(0.7350621658824833+0j), (0.4413000998987378+0j)], [(0.4413000998987378+0j), (0.26493783411751676+0j)]]]","[0.515793, 0.741678, 0.64039]",0.545193,
20260213_143415_perturbed_281,"[[[(0.5+0j), (-0.017894239924744707-0.38617962128111005j)], [(-0.017894239924744707+0.38617962128111005j), (0.5+0j)]], [[(0.6634718842038863-0.3481520332878431j), (-0.65976641560254-0.05747605963757785j)], [(0.6473999039398937+0.13952987123588395j), (0.5313900570833687+0.528232322604788j)]], [[(0.5+0j), (0.4975482521879447-0.04945439055049937j)], [(0.4975482521879447+0.04945439055049937j), (0.5+0j)]]]","[0.47961, 0.612193, 0.676061]",0.480937,
20260213_143415_perturbed_282,"[[[(0.5+0j), (-0.017894239924744707-0.38617962128111005j)], [(-0.017894239924744707+0.38617962128111005j), (0.5+0j)]], [[(0.6634718842038863-0.3481520332878431j), (-0.65976641560254-0.05747605963757785j)], [(0.6473999039398937+0.13952987123588395j), (0.5313900570833687+0.528232322604788j)]], [[(0.5+0j), (-0.017894239924744707-0.38617962128111005j)], [(-0.017894239924744707+0.38617962128111005j), (0.5+0j)]]]","[0.301635, 0.526849, 0.351626]",0.679774,
20260213_143415_perturbed_283,"[[[(0.5+0j), (-0.017894239924744707-0.38617962128111005j)], [(-0.017894239924744707+0.38617962128111005j), (0.5+0j)]], [[(0.6634718842038863-0.3481520332878431j), (-0.65976641560254-0.05747605963757785j)], [(0.6473999039398937+0.13952987123588395j), (0.5313900570833687+0.528232322604788j)]], [[(0.5+0j), (-0.25129988330819936-0.3263740578886814j)], [(-0.25129988330819936+0.3263740578886814j), (0.5+0j)]]]","[0.319257, 0.482034, 0.271707]",0.737475,
20260213_143415_perturbed_284,"[[[(0.5+0j), (-0.017894239924744707-0.38617962128111005j)], [(-0.017894239924744707+0.38617962128111005j), (0.5+0j)]], [[(0.6634718842038863-0.3481520332878431j), (-0.65976641560254-0.05747605963757785j)], [(0.6473999039398937+0.13952987123588395j), (0.5313900570833687+0.528232322604788j)]], [[(0.5+0j), (0.19219697996393978+0.46158457609926795j)], [(0.19219697996393978-0.46158457609926795j), (0.5+0j)]]]","[0.863388, 0.380496, 0.86858]",0.649366,
20260213_143415_perturbed_285,"[[[(0.5+0j), (-0.017894239924744707-0.38617962128111005j)], [(-0.017894239924744707+0.38617962128111005j), (0.5+0j)]], [[(0.6634718842038863-0.3481520332878431j), (-0.65976641560254-0.05747605963757785j)], [(0.6473999039398937+0.13952987123588395j), (0.5313900570833687+0.528232322604788j)]], [[(0.5760003103069374+0j), (0.42399968969306256+0j)], [(0.42399968969306256+0j), (0.42399968969306256+0j)]]]","[0.579623, 0.567653, 0.72687]",0.500259,
20260213_143415_perturbed_286,"[[[(0.5+0j), (-0.017894239924744707-0.38617962128111005j)], [(-0.017894239924744707+0.38617962128111005j), (0.5+0j)]], [[(0.6634718842038863-0.3481520332878431j), (-0.65976641560254-0.05747605963757785j)], [(0.6473999039398937+0.13952987123588395j), (0.5313900570833687+0.528232322604788j)]], [[(0.5+0j), (0.24162300040047102-0.43774230510366924j)], [(0.24162300040047102+0.43774230510366924j), (0.5+0j)]]]","[0.170553, 0.694643, 0.326801]",0.633868,
20260213_143415_perturbed_287,"[[[(0.5+0j), (-0.017894239924744707-0.38617962128111005j)], [(-0.017894239924744707+0.38617962128111005j), (0.5+0j)]], [[(0.6634718842038863-0.3481520332878431j), (-0.65976641560254-0.05747605963757785j)], [(0.6473999039398937+0.13952987123588395j), (0.5313900570833687+0.528232322604788j)]], [[(0.5+0j), (-0.1257878316178867-0.4839188169692002j)], [(-0.1257878316178867+0.4839188169692002j), (0.5+0j)]]]","[0.121739, 0.639809, 0.145081]",0.728122,
20260213_143415_perturbed_288,"[[[(0.5+0j), (-0.017894239924744707-0.38617962128111005j)], [(-0.017894239924744707+0.38617962128111005j), (0.5+0j)]], [[(0.6634718842038863-0.3481520332878431j), (-0.65976641560254-0.05747605963757785j)], [(0.6473999039398937+0.13952987123588395j), (0.5313900570833687+0.528232322604788j)]], [[(0.4808663550850083+0j), (0.4808663550850083+0j)], [(0.4808663550850083+0j), (0.5191336449149917+0j)]]]","[0.535611, 0.561056, 0.721962]",0.473452,
20260213_143415_perturbed_289,"[[[(0.5+0j), (-0.017894239924744707-0.38617962128111005j)], [(-0.017894239924744707+0.38617962128111005j), (0.5+0j)]], [[(0.6634718842038863-0.3481520332878431j), (-0.65976641560254-0.05747605963757785j)], [(0.6473999039398937+0.13952987123588395j), (0.5313900570833687+0.528232322604788j)]], [[(0.5+0j), (0.48365284596713287-0.12680664252275156j)], [(0.48365284596713287+0.12680664252275156j), (0.5+0j)]]]","[0.419369, 0.635733, 0.621913]",0.507051,
20260213_143415_perturbed_290,"[[[(0.5+0j), (-0.017894239924744707-0.38617962128111005j)], [(-0.017894239924744707+0.38617962128111005j), (0.5+0j)]], [[(0.9586622817433695-0.02972316208504282j), (0.2740163901161553+0.07069781570865026j)], [(-0.23437349317983572-0.15859454244375729j), (0.6122933058569775+0.7382504618383053j)]], [[(0.7350621658824833+0j), (0.4413000998987378+0j)], [(0.4413000998987378+0j), (0.26493783411751676+0j)]]]","[0.515793, 0.123969, 0.39613]",0.60619,
20260213_143415_perturbed_291,"[[[(0.5+0j), (-0.017894239924744707-0.38617962128111005j)], [(-0.017894239924744707+0.38617962128111005j), (0.5+0j)]], [[(0.9586622817433695-0.02972316208504282j), (0.2740163901161553+0.07069781570865026j)], [(-0.23437349317983572-0.15859454244375729j), (0.6122933058569775+0.7382504618383053j)]], [[(0.5+0j), (0.4975482521879447-0.04945439055049937j)], [(0.4975482521879447+0.04945439055049937j), (0.5+0j)]]]","[0.47961, 0.204233, 0.233392]",0.541934,
20260213_143415_perturbed_292,"[[[(0.5+0j), (-0.017894239924744707-0.38617962128111005j)], [(-0.017894239924744707+0.38617962128111005j), (0.5+0j)]], [[(0.9586622817433695-0.02972316208504282j), (0.2740163901161553+0.07069781570865026j)], [(-0.23437349317983572-0.15859454244375729j), (0.6122933058569775+0.7382504618383053j)]], [[(0.5+0j), (-0.017894239924744707-0.38617962128111005j)], [(-0.017894239924744707+0.38617962128111005j), (0.5+0j)]]]","[0.301635, 0.381121, 0.600076]",0.740771,
20260213_143415_perturbed_293,"[[[(0.5+0j), (-0.017894239924744707-0.38617962128111005j)], [(-0.017894239924744707+0.38617962128111005j), (0.5+0j)]], [[(0.9586622817433695-0.02972316208504282j), (0.2740163901161553+0.07069781570865026j)], [(-0.23437349317983572-0.15859454244375729j), (0.6122933058569775+0.7382504618383053j)]], [[(0.5+0j), (-0.25129988330819936-0.3263740578886814j)], [(-0.25129988330819936+0.3263740578886814j), (0.5+0j)]]]","[0.319257, 0.542819, 0.705877]",0.798472,
20260213_143415_perturbed_294,"[[[(0.5+0j), (-0.017894239924744707-0.38617962128111005j)], [(-0.017894239924744707+0.38617962128111005j), (0.5+0j)]], [[(0.9586622817433695-0.02972316208504282j), (0.2740163901161553+0.07069781570865026j)], [(-0.23437349317983572-0.15859454244375729j), (0.6122933058569775+0.7382504618383053j)]], [[(0.5+0j), (0.19219697996393978+0.46158457609926795j)], [(0.19219697996393978-0.46158457609926795j), (0.5+0j)]]]","[0.863388, 0.421645, 0.409474]",0.710363,
